Date,Station Number,Depth,Salinity,Temperature
1969-04-10,4,0.5,0.3,13.1
1969-04-10,4,2,0.3,13.1
1969-04-10,4,4,0.3,13
1969-04-11,4,11,0.3,13
1969-04-11,5,0.5,0.3,14.1
1969-04-11,5,2,0.2,14
1969-04-12,5,4,0.2,14
1969-04-12,5,6,0.2,14.1
1969-04-12,6,0.5,0.1,13.7
1969-04-12,6,2,0.1,13.7
1969-04-13,6,4,0.1,13.7
1969-04-13,6,6,0.1,13.5
1969-04-13,7,0.5,0.1,14.4
1969-04-13,7,2,0.1,14.4
1969-04-13,7,4,0.1,14.3
1969-04-13,7,6,0.1,14.3
1969-04-14,7,9,0.1,14.2
1969-04-14,8,0.5,0.1,14.3
1969-04-14,8,2,0.1,14.3
1969-04-14,8,4,0.1,14.1
1969-04-14,8,6,0.1,14.1
1969-04-14,6,0.5,0.2,13.9
1969-04-15,6,2,0.2,14
1969-04-15,6,4,0.2,14
1969-04-15,6,6,0.2,14
1969-04-15,6,12,0.3,14
1969-04-15,7,0.5,0.6,14.5
1969-04-15,7,2,0.6,14.4
1969-04-16,7,4,0.8,14.3
1969-04-16,7,6,3.4,14.2
1969-04-16,7,12,7.4,14
1969-04-16,8,0.5,1.6,14.4
1969-04-16,8,2,3.3,14.3
1969-04-17,8,4,6,14
1969-04-17,8,6,10.2,13.7
1969-04-17,9,0.5,0.7,14.3
1969-04-17,9,2,0.7,14.3
1969-04-17,9,4,1.2,14.1
1969-04-17,9,6,5.4,14
1969-04-17,9,12,9.3,13.8
1969-04-18,10,0.5,4.1,14.1
1969-04-18,10,2,4.9,14
1969-04-18,10,4,5.2,14
1969-04-18,10,6,7.1,13.9
1969-04-18,10,12,13.7,13.4
1969-04-18,11,0.5,2.7,14.3
1969-04-18,11,4,3,14.7
1969-04-18,11,6,5.9,14
1969-04-19,11,12,12.3,13.6
1969-04-19,11,2,1.8,14.4
1969-04-19,12,0.5,4,14.9
1969-04-19,12,2,3.5,14.2
1969-04-19,12,4,12.2,13.6
1969-04-19,12,6,16.3,13.2
1969-04-20,12,12,18.1,13
1969-04-20,13,2,7.8,14.3
1969-04-20,13,4,10.8,13.9
1969-04-20,13,6,14.8,13.5
1969-04-21,13,12,19.5,13
1969-04-21,13,0.5,7.8,14.2
1969-04-21,14,0.5,4.2,16.2
1969-04-21,14,2,4.4,15.8
1969-04-21,14,4,10,14
1969-04-21,14,6,12.2,13.6
1969-04-21,14,12,17.7,13.2
1969-04-22,15,0.5,5.4,15.2
1969-04-22,15,2,6.1,14.6
1969-04-22,15,4,7.1,14.3
1969-04-22,15,6,7.4,14.2
1969-04-22,15,12,13,14.2
1969-04-22,16,0.5,6.3,15.1
1969-04-22,16,2,6.7,14.6
1969-04-22,16,4,8.4,14.3
1969-04-22,16,6,11,14
1969-04-22,16,12,1.3,13.7
1969-04-22,17,0.5,8.5,14.3
1969-04-22,17,2,8.8,14.2
1969-04-23,17,4,8.9,14.3
1969-04-23,17,6,10.7,14.3
1969-04-23,17,12,12.5,14.3
1969-04-23,18,0.5,10.5,14.3
1969-04-23,18,2,11.5,14.1
1969-04-23,18,4,15.4,13.7
1969-04-23,18,6,16.9,13.6
1969-04-23,18,12,17.8,13.6
1969-04-23,19,0.5,17.3,14
1969-04-23,19,2,17.3,14
1969-04-23,19,4,17.7,13.6
1969-04-24,19,6,20,13.2
1969-04-24,19,12,21.1,13.1
1969-04-24,20,0.5,10.4,14.9
1969-04-24,20,2,12.9,14.1
1969-04-24,20,4,15.3,13.8
1969-04-24,20,6,16.4,13.9
1969-04-24,20,12,16.4,13.8
1969-04-24,21,0.5,12,14.6
1969-04-25,21,2,12.8,14.4
1969-04-25,21,4,14.6,14.3
1969-04-25,21,6,16,14.2
